name,activity,imagining,probability_A,probability_B,probability_C,probability_D,time_A,time_B,time_C,time_D,A_min,A_max,A_mean,A_std,B_min,B_max,B_mean,B_std,C_min,C_max,C_mean,C_std,D_min,D_max,D_mean,D_std,P_A_A,P_A_B,P_A_C,P_A_D,P_B_A,P_B_B,P_B_C,P_B_D,P_C_A,P_C_B,P_C_C,P_C_D,P_D_A,P_D_B,P_D_C,P_D_D,GEV_total,GEV_A,GEV_B,GEV_C,GEV_D,max_entropy,entropy,mc_entropy
P19,Successful,guided,0.33473684210526317,0.2505263157894737,0.11494736842105263,0.29978947368421055,12.72,9.52,4.368,11.392,0.012,0.23600000000000018,0.05653333333333337,0.03956024940939245,0.016,0.3160000000000002,0.05471264367816095,0.04336212342798012,0.016,0.2640000000000002,0.06330434782608697,0.0549506509430728,0.016,0.3000000000000002,0.0555707317073171,0.04199292765020485,0.9295375904372444,0.026423403586033345,0.007234979553318654,0.03680402642340359,0.03571428571428571,0.926890756302521,0.007983193277310924,0.029411764705882353,0.026556776556776556,0.020146520146520148,0.9368131868131868,0.016483516483516484,0.038623595505617975,0.023876404494382022,0.009480337078651686,0.9280196629213483,0.6250592619925883,0.20814126310833161,0.23109202217682984,0.08797974760656706,0.09784622910085984,2.0,1.908581914808023,0.4673454209331516
P19,Successful,self-guided,0.2508666666666667,0.3142666666666667,0.20833333333333334,0.22653333333333334,15.052000000000001,18.856,12.5,13.592,0.012,0.2440000000000002,0.049676567656765695,0.031502543437070284,0.012,0.5720000000000004,0.05731306990881463,0.056977379231332725,0.012,0.2800000000000002,0.04716981132075474,0.03255516992189792,0.016,0.22400000000000017,0.04591891891891894,0.029922312364014304,0.9194791389848526,0.0297634865798565,0.02046239702365134,0.03029497741163965,0.025249310417992787,0.9304052620411627,0.023976235943136005,0.020369191597708464,0.02112,0.03616,0.9152,0.02752,0.034726309593878756,0.030606238964096526,0.02177751618599176,0.912889935256033,0.7591679924934712,0.16257245170699283,0.38359282487412777,0.13044941962741857,0.08255329628493209,2.0,1.982033227079556,0.5240974655112733
P19,Training,guided,0.29686486486486485,0.09718918918918919,0.2384864864864865,0.36745945945945946,10.984,3.596,8.824,13.596,0.012,0.3720000000000003,0.07086451612903229,0.05586112704814015,0.016,0.2720000000000002,0.07192000000000004,0.06573396078131917,0.008,0.44000000000000034,0.07878571428571435,0.08209374308107309,0.016,0.3720000000000003,0.07725000000000005,0.06333878066685246,0.9438979963570128,0.0029143897996357013,0.014207650273224045,0.03897996357012751,0.02224694104560623,0.9443826473859844,0.012235817575083427,0.021134593993325918,0.019945602901178604,0.008159564823209429,0.9492293744333635,0.022665457842248413,0.0264783759929391,0.00706090026478376,0.018240659017358045,0.948220064724919,0.6830064325100479,0.1958966103904794,0.07835404046589907,0.19358983145743955,0.21516595019622986,2.0,1.870928951991452,0.37098913585786075
P19,Training,self-guided,0.2502,0.22106666666666666,0.2508666666666667,0.27786666666666665,15.011999999999999,13.264,15.052000000000001,16.672,0.012,0.2840000000000002,0.05071621621621624,0.032878572776888354,0.016,0.16000000000000011,0.047712230215827364,0.02881702249840571,0.016,0.2840000000000002,0.055542435424354275,0.042051771904022935,0.016,0.3000000000000002,0.05670748299319732,0.04275976411298375,0.9213752665245203,0.022121535181236673,0.025319829424307036,0.031183368869936032,0.0244270205066345,0.9161640530759951,0.028950542822677925,0.0304583835946924,0.025245814509699708,0.026840287005049163,0.927982992293383,0.01993090619186819,0.028790786948176585,0.022552783109404992,0.019193857965451054,0.9294625719769674,0.690941875909207,0.17767937541322956,0.1288339107277306,0.26457730973852994,0.11985128002971693,2.0,1.995321518074273,0.5064328378922077
P19,Slow,guided,0.18476595744680852,0.35829787234042554,0.15208510638297873,0.3048510638297872,8.684,16.84,7.148,14.328,0.016,0.24000000000000019,0.06892063492063494,0.057067295720637776,0.012,0.20400000000000015,0.06283582089552242,0.042706424772666784,0.016,0.2440000000000002,0.05069503546099293,0.0391121216563323,0.012,0.2600000000000002,0.05532046332046336,0.039836364207829635,0.9419622293873791,0.025333947489636112,0.013357899585444496,0.019345923537540305,0.013304822998336897,0.9365645046329294,0.013304822998336897,0.03682584937039677,0.01846670397313934,0.02574146614437605,0.9210968102965864,0.03469501958589815,0.010329424902289224,0.0463428252372976,0.015633724176437745,0.9276940256839754,0.4967454028584734,0.11730280884361477,0.18331928610130976,0.07856272151555876,0.11756058639799011,2.0,1.9163720931983068,0.4511741875951852
P19,Slow,self-guided,0.2742,0.25793333333333335,0.1206,0.34726666666666667,16.452,15.476,7.236,20.836,0.012,0.2480000000000002,0.050466257668711684,0.03653660778015453,0.012,0.3080000000000002,0.04421714285714287,0.03174899310632241,0.012,0.1360000000000001,0.03729896907216496,0.022986398913698136,0.012,0.32800000000000024,0.05724175824175828,0.041759078938976436,0.9209630350194552,0.024319066147859923,0.013375486381322957,0.04134241245136187,0.030240372189196174,0.9095373481519773,0.020677177565262342,0.03954510209356423,0.028745163073521283,0.05583195135433942,0.892758430071863,0.022664455500276397,0.03014014206181609,0.02841236321750816,0.011326550201574198,0.9301209445191015,0.6177314572214938,0.1694168596347001,0.12281370087138695,0.055717323880277864,0.2697835728351288,2.0,1.9140140932806649,0.5306076725472201
P19,Start,guided,0.2610212765957447,0.3171063829787234,0.22093617021276596,0.20093617021276597,12.268,14.904,10.384,9.444,0.012,0.4000000000000003,0.05287931034482762,0.046899591052627414,0.016,0.2920000000000002,0.054000000000000034,0.04226006440456834,0.012,0.16000000000000011,0.04763302752293581,0.029982459872539117,0.012,0.2600000000000002,0.04562318840579711,0.031912819701988955,0.9243560482556243,0.028692533420280403,0.018910987936093904,0.028040430388001303,0.02576489533011272,0.9259259259259259,0.029522275899087493,0.01878690284487386,0.021956856702619414,0.0423728813559322,0.9160246533127889,0.019645608628659477,0.03305084745762712,0.03305084745762712,0.0211864406779661,0.9127118644067796,0.6527258841611728,0.1835058329504178,0.2370873351758972,0.15376709476254993,0.07836562127230794,2.0,1.977700229326611,0.5220273939354252
P19,Start,self-guided,0.19104347826086956,0.28095652173913044,0.21295652173913043,0.3150434782608696,8.788,12.924,9.796,14.492000000000003,0.012,0.17200000000000013,0.04087441860465118,0.026218013450929938,0.012,0.23200000000000018,0.05028793774319069,0.035255525968439345,0.012,0.20800000000000016,0.04115966386554623,0.026361412846848186,0.012,0.21600000000000016,0.05212949640287773,0.036250692780752776,0.9021392808375057,0.032771961766044605,0.03459262630860264,0.030496131087847066,0.02321981424148607,0.9207430340557275,0.022910216718266253,0.03312693498452012,0.024091465904450795,0.0310330747243773,0.902817476521029,0.042057982850142915,0.02235716257245377,0.030085564449351367,0.024289263041678166,0.9232680099365167,0.6427444129943162,0.12803203011550374,0.21729923937819953,0.10485433032088681,0.19255881317972603,2.0,1.9709775587759895,0.5560084578142233
P19,Fitness,guided,0.4823783783783784,0.12043243243243243,0.23837837837837839,0.1588108108108108,17.848,4.456,8.82,5.876,0.02,0.9120000000000007,0.09493617021276603,0.11193717923894209,0.012,0.3000000000000002,0.06104109589041099,0.05795804773652376,0.016,0.25200000000000017,0.054782608695652206,0.03726832296066325,0.012,0.1560000000000001,0.04816393442622953,0.029283901652541137,0.9580811477247254,0.006500784577449003,0.01927818874691773,0.01613987895090787,0.03052064631956912,0.9344703770197487,0.026929982046678635,0.00807899461400359,0.044444444444444446,0.010430839002267574,0.926984126984127,0.018140589569160998,0.0381211708645337,0.014295439074200136,0.03063308373042886,0.9169503063308373,0.7640654531578921,0.5113006047287023,0.10678114715563003,0.09828246070894624,0.047701240564613556,2.0,1.7898221893720865,0.40211482105033847
P19,Fitness,self-guided,0.03986666666666667,0.4212666666666667,0.29706666666666665,0.2418,2.392,25.276,17.824,14.508,0.016,0.3840000000000003,0.05562790697674422,0.05777785173778282,0.012,0.45600000000000035,0.07100000000000004,0.06184821943428135,0.012,0.21200000000000016,0.05676433121019111,0.0383324611946666,0.016,0.2800000000000002,0.04868456375838928,0.03393501235797432,0.9280936454849499,0.03511705685618729,0.011705685618729096,0.02508361204013378,0.003006804874188954,0.9436619718309859,0.028485519860737458,0.024845703434087672,0.0017957351290684624,0.040179573512906845,0.9297418630751965,0.028282828282828285,0.0041356492969396195,0.043010752688172046,0.03501516404742211,0.9178384339674662,0.7657853599051224,0.025888912098205135,0.4289119928412928,0.23822352077671,0.07276093418891452,2.0,1.7261681596994987,0.4363105992889488
