name,activity,imagining,probability_A,probability_B,probability_C,probability_D,time_A,time_B,time_C,time_D,A_min,A_max,A_mean,A_std,B_min,B_max,B_mean,B_std,C_min,C_max,C_mean,C_std,D_min,D_max,D_mean,D_std,P_A_A,P_A_B,P_A_C,P_A_D,P_B_A,P_B_B,P_B_C,P_B_D,P_C_A,P_C_B,P_C_C,P_C_D,P_D_A,P_D_B,P_D_C,P_D_D,GEV_total,GEV_A,GEV_B,GEV_C,GEV_D,max_entropy,entropy,mc_entropy
P19,Your,guided,0.3635,0.0615,0.2294,0.3456,14.54,2.46,9.176,13.824,0.012,0.2840000000000002,0.05613899613899618,0.04128491250489296,0.016,0.2960000000000002,0.09840000000000006,0.08797090428090423,0.012,0.24000000000000019,0.04634343434343435,0.03327029239249416,0.016,0.32400000000000023,0.06429767441860468,0.05156729398121608,0.928748280605227,0.0038514442916093533,0.02861072902338377,0.03878954607977992,0.022764227642276424,0.959349593495935,0.011382113821138212,0.0065040650406504065,0.05364151766245094,0.0017444395987788923,0.9140863497601396,0.030527692978630616,0.03530092592592592,0.002025462962962963,0.02488425925925926,0.9377893518518519,0.6432447956895105,0.28090983124304686,0.06274177430665065,0.1428129157243516,0.15678027441546138,2.0,1.7951354408684597,0.44426104896359686
P19,Your,self-guided,0.33873333333333333,0.0694,0.19493333333333332,0.39693333333333336,20.324,4.164,11.696,23.816,0.012,0.2960000000000002,0.056929971988795555,0.0434932381266826,0.016,0.36800000000000027,0.060347826086956546,0.069069976297295,0.012,0.4880000000000004,0.046971887550200826,0.039457811500449795,0.016,0.2760000000000002,0.06334042553191493,0.0461587347238666,0.9299212598425197,0.0031496062992125984,0.024015748031496063,0.042913385826771656,0.022094140249759846,0.9337175792507204,0.008645533141210375,0.03554274735830932,0.03898768809849521,0.0047879616963064295,0.91484268125855,0.04138166894664843,0.036949949613705076,0.006550218340611353,0.019650655021834062,0.9368491770238495,0.5907791520796812,0.22048253421908767,0.049902082980173186,0.1264630553486978,0.1939314795317225,2.0,1.7851034409951347,0.4531086735327414
P23,Successful,guided,0.04610526315789474,0.41947368421052633,0.026,0.508421052631579,1.752,15.94,0.988,19.320000000000004,0.012,0.35600000000000026,0.03893333333333335,0.060477507297249725,0.012,0.22000000000000017,0.04379120879120881,0.0321521166337977,0.012,0.2840000000000002,0.04490909090909093,0.05711782804862016,0.012,0.4000000000000003,0.05504273504273506,0.04752178564656492,0.8972602739726028,0.07077625570776255,0.00684931506849315,0.02511415525114155,0.0077791718946047675,0.9086574654956086,0.0017565872020075283,0.08180677540777917,0.02032520325203252,0.008130081300813009,0.9146341463414634,0.056910569105691054,0.0018633540372670807,0.06832298136645963,0.002484472049689441,0.9273291925465839,0.8360542390945938,0.07530588406767347,0.21972360599213916,0.03843410692320838,0.5025906421115728,2.0,1.363473470551184,0.4525176208555851
P23,Successful,self-guided,0.014533333333333334,0.41046666666666665,0.009066666666666667,0.5659333333333333,0.872,24.628,0.544,33.956,0.012,0.036000000000000004,0.020761904761904766,0.006248083606421611,0.012,0.2720000000000002,0.04097836938435942,0.03048014871290375,0.012,0.06400000000000003,0.028631578947368425,0.012192363987848643,0.012,0.35600000000000026,0.05735810810810814,0.049213477353033136,0.8073394495412844,0.12385321100917432,0.0,0.06880733944954129,0.004872502842293324,0.9023875263927237,0.0006496670456391099,0.09209030371934383,0.007352941176470588,0.0661764705882353,0.8602941176470589,0.0661764705882353,0.0012959472196041471,0.066564561734213,0.001767200754005655,0.9303722902921772,0.8978136519533432,0.0010960353491115504,0.2355317608655575,0.001256017350746361,0.6599298383879277,2.0,1.142347974343666,0.4411718085345368
P23,Training,guided,0.06064864864864865,0.20724324324324325,0.38594594594594595,0.34616216216216217,2.244,7.668,14.28,12.808,0.012,0.10000000000000006,0.027703703703703706,0.014219135467498471,0.012,0.1520000000000001,0.026811188811188814,0.01640695360384603,0.012,0.20800000000000016,0.05409090909090912,0.03739377977471952,0.012,0.2600000000000002,0.042836120401337816,0.03477106059905032,0.8556149732620321,0.0873440285204991,0.044563279857397504,0.012477718360071301,0.023474178403755867,0.8508085550339072,0.05372978612415232,0.07198748043818466,0.004483048472961614,0.02605771924908938,0.9263098907256935,0.043149341552255534,0.006246096189881324,0.04497189256714553,0.04216114928169894,0.9066208619612742,0.8708685460928929,0.022655877445699652,0.07750780509730097,0.4209665034877357,0.34973836006215664,2.0,1.7756950581604203,0.5962192300504814
P23,Training,self-guided,0.07173333333333333,0.20753333333333332,0.39393333333333336,0.3268,4.304,12.452,23.636,19.608,0.012,0.1480000000000001,0.029888888888888892,0.021202434055469756,0.008,0.18800000000000014,0.027794642857142865,0.01949159085755095,0.012,0.23600000000000018,0.05548356807511741,0.041129544142299336,0.012,0.22400000000000017,0.04119327731092439,0.03114273923254493,0.8661710037174721,0.08271375464684015,0.03345724907063197,0.017657992565055763,0.027947317699967878,0.8560873755220045,0.057179569547060716,0.05878573723096691,0.004062288422477996,0.021665538253215978,0.9280636425186188,0.0462085308056872,0.006731946144430845,0.047123623011015914,0.04324765401876785,0.9028967768257854,0.8691575462280307,0.04579408462635702,0.08374673282129146,0.4321658227418016,0.3074509060385806,2.0,1.8002162085712983,0.5932704436963643
P23,Slow,guided,0.4138723404255319,0.23148936170212767,0.0876595744680851,0.2669787234042553,19.452,10.88,4.12,12.548,0.012,0.21600000000000016,0.04653588516746414,0.03338910667137074,0.012,0.20800000000000016,0.026864197530864203,0.01768458426574795,0.012,0.11200000000000007,0.024969696969696975,0.013380412750088031,0.012,0.21600000000000016,0.04021794871794874,0.03127059216346537,0.9142328259975319,0.040929658576717404,0.008638420403126285,0.03619909502262444,0.0900735294117647,0.8511029411764706,0.021323529411764706,0.0375,0.07961165048543689,0.04854368932038835,0.8398058252427184,0.03203883495145631,0.029008606949314633,0.04972904048453937,0.020720433535224736,0.9005419190309213,0.8734035536855946,0.5373624876792965,0.07663950313111671,0.042039703380068245,0.2173618594951132,2.0,1.8319270525777314,0.6509025355782936
P23,Slow,self-guided,0.40913333333333335,0.19993333333333332,0.08506666666666667,0.3058666666666667,24.548,11.996,5.104,18.352,0.012,0.22800000000000017,0.046492424242424266,0.031428609870076576,0.008,0.1480000000000001,0.025797849462365595,0.014469916723977511,0.008,0.11200000000000007,0.02577777777777778,0.013275294556686081,0.012,0.20000000000000015,0.04287850467289722,0.035209575556205026,0.9141134289439374,0.03650586701434159,0.00863754889178618,0.04074315514993481,0.09403134378126042,0.8449483161053685,0.017005668556185394,0.044014671557185726,0.0822884012539185,0.03683385579937304,0.8448275862068966,0.03605015673981191,0.03051438535309503,0.042284219703574544,0.02048823016564952,0.9067131647776809,0.8836852128943928,0.500429958702133,0.07998450836245412,0.024462382939384245,0.27880836289042144,2.0,1.8170140722516832,0.6384684762804361
P23,Start,guided,0.19285106382978723,0.28119148936170213,0.02374468085106383,0.5022127659574468,9.064,13.216,1.116,23.604,0.012,0.18000000000000013,0.033080291970802936,0.023833993509902663,0.008,0.12400000000000008,0.02811914893617022,0.015111030750399539,0.012,0.1360000000000001,0.03381818181818183,0.030192769097668493,0.012,0.33600000000000024,0.05915789473684214,0.046944243914143806,0.8790820829655781,0.07458075904677847,0.01059135039717564,0.03574580759046778,0.0457160157432637,0.8580078716318499,0.0015137753557372085,0.09476233726914926,0.07885304659498207,0.025089605734767026,0.8817204301075269,0.014336917562724014,0.017115743094390783,0.0498220640569395,0.0006778512116590408,0.9323843416370107,0.8717023413699744,0.10587479469671213,0.12164085216228437,0.02792484014431063,0.6162618543666672,2.0,1.5997450330681815,0.5625232437668257
P23,Start,self-guided,0.2142608695652174,0.2980869565217391,0.015391304347826087,0.4722608695652174,9.856,13.711999999999998,0.708,21.724,0.012,0.22400000000000017,0.03410380622837371,0.0279000245447145,0.008,0.17200000000000013,0.02993886462882097,0.019307118413123082,0.012,0.06400000000000003,0.02441379310344828,0.013176565512902621,0.008,0.25200000000000017,0.05762334217506635,0.042969315885440396,0.882711038961039,0.0799512987012987,0.005681818181818182,0.03165584415584415,0.04579929988331389,0.8663943990665111,0.0029171528588098016,0.08488914819136523,0.062146892655367235,0.05649717514124294,0.8361581920903954,0.04519774011299435,0.022283609576427256,0.04604051565377532,0.0009208103130755065,0.930755064456722,0.8671886665207265,0.1304079913642809,0.1330248928136477,0.004542153237582267,0.5992136291052155,2.0,1.6005566874120642,0.5689481533332922
